Name:            Clone of:
as_wwc           as_ww
as_wwd           as_ww
as_wwe           as_ww
asc486slc        ibm5170
ashnojoe         scessjoe
ashuraj          ashura
ashurau          ashura
asi100b0         ibm5170
asideral         uniwars
asndynmto        asndynmt
asoccer          idsoccer
assaultj         assault
assaultp         assault
asst128          ibm5150
astdelux1        astdelux
astdelux2        astdelux
asterion         astrof
asterixaad       asterix
asterixeaa       asterix
asterixeac       asterix
asterixj         asterix
asterock         asteroid
asterockv        asteroid
asteroid1        asteroid
asteroid2        asteroid
asteroidb1       asteroid
asteroidb2       asteroid
astinvad         kamikaze
astorm3          astorm
astorm3d         astorm
astormb2         astorm
astormbl         astorm
astormj          astorm
astormjd         astorm
astormu          astorm
astormud         astorm
astrians         galaxian
astroamb         scramble
astrob1          astrob
astrob2          astrob
astrob2a         astrob
astrob2b         astrob
astrobg          astrob
astrocdl         astrocde
astrocdw         astrocde
astrof2          astrof
astrof3          astrof
astroff          astrof
astroff2         astrof
astrofl          transfrm
astronp          astron
astyanaxa        astyanax
asukaj           asuka
asukaja          asuka
asurabusj        asurabus
asurabusja       asurabus
asurabusjr       asurabus
at               ibm5170
at386            ibm5170
at386sx          ibm5170
at486            ibm5170
at586            ibm5170
at586x3          ibm5170
atakaast         gnw_mmouse
ataqandr         mooncrst
atariabc286      ibm5170
atarifb1         atarifb
atarifb2         atarifb
atarifb4         atarifb
ataripc1         ibm5150
ataripc3         ibm5150
ataripc4         ibm5170
ataripc5         ibm5170
ataxxa           ataxx
ataxxe           ataxx
ataxxj           ataxx
atc1415          ibm5170
atc1425a         ibm5170
atc1425b         ibm5170
atetb3482        atetris
atetrisa         atetris
atetrisb         atetris
atetrisb2        atetris
atetrisb3        atetris
atetrisb4        atetris
atetrisb5        atetris
atetrisbp        atetris
atetrisc         atetris
atetrisc2        atetris
athenab          athena
atlantcaa        atlantca
atlantis2        atlantis
atlantisb        atlantis
atlantol         trackfld
atm              spec128
atmtb2           spec128
atmtb2plus       spec128
atombb           atom
atombjt          bjtwin
atomboy          wilytowr
atomboya         wilytowr
atomeb           atom
atompunk         dynablst
ator3bmp         ator
atronica         atronic
attache816       attache
attackf          defender
attackfcu        attackfc
attckexd2        attckexd
atturbo          ibm5170
atvtracka        atvtrack
atworldd1        atworld
