"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Attack on Alpha Centauri",,04947050f4ed5511c2ff745c8f70b68266639a46,,,"Attack on Alpha Centauri",,,,1983,"Software Invasion",,a,"a 3; [ALPHA]",,,,,,,,,,,
"Stairway to Hell: Games Disc NO1-r1",,049ac98ed7adb68380a881f6f7e06d0436b6e05f,,,"Stairway to Hell: Games Disc NO1-r1",,,,19xx,,,,,,,,,,,,,,,
"BBC PD Disk 090: Games",,04ae92379a7a09b98eb1bfcfa63a9d5c466c09b8,,,"BBC PD Disk 090: Games",,,"Copyright Public Domain",19xx,,,,,,,,,,,,,,,
"White Magic",,04aed4908320aa5befb11aa9d8d707bcdc493b79,,,"White Magic",,,,1989,"Fourth Dimension",,,,,,,,,,2,,,,
Colourspace,,04b1181d044ee5a4cfd494482a7ecfd49690ebb7,,,Colourspace,,,"Demo 1",19xx,Llamasoft,,,[CSP],,,,,,,,,,,
@,,04b3b0840571deb4393e53457c332cb185ed0c71,,,"Font ROM",@,,"v 1.0",19xx,"Lawrence, D.",@,,,,,,,,,,,,,
"Dead or Alive",,04b7fff26dd46ec37495cd7c0232528e36eb88d7,,,"Dead or Alive",,,,1987,Alternative,,,,,,,,,,TSTH,,,,
"8-Bit Software: Issue 41",,04bf1c30f0bece318850cae2d9130e523ea37f5d,,,"8-Bit Software: Issue 41",,,,1995,"Richardson, C.J.",,,[ADFS],,,,,,,,,,,
"Acorn User: Issue 1994.01",,04d212b41feebae488cac8b080d883f4d0ee5e35,,,"Acorn User: Issue 1994.01",,,,19xx,,,,,,,,,,,,,,,
"Adventure 03: Secret Mission: BBC v1.0",,04e78fee6b15845254b7883f80cd2466af5f0b29,,,"Adventure 03: Secret Mission: BBC",,,"v 1.0",1979,Adams,,a,"a 3; [SPECIAL]",,,,,,,,,,,
"Saloon Sally",,04fe242c0b262c9ae55bdd25701f56ff1df14294,,,"Saloon Sally",,,,19xx,Psion,,,,,,,,,,TSTH,,,,
Ricochet,,04fef031eab258be2ee4313d28b2684fa64b7984,,,Ricochet,,,,1989,Superior,,a,"a 1",,,,,,,,,,,
Frak!,,050da57f99e78a78b6648d48f0787da30bd2fd50,,,Frak!,,,,1984,Aardvark,,a,"a 2; [FRAK]",,,,,,,,,,,
"Jetset Willy II",,05162de9d4d231cd3fa72748fcd6056f9090deb4,,,"Jetset Willy II",,,,19xx,Tynesoft,,,,,,,,,,8,,,,
"Russian Language and Culture Resources",,051bc868b41cf5c319822f047b1f3d3c4d596d7a,,,"Russian Language and Culture Resources",,,,19xx,,,,,,,,,,,,,,,
"Match Day",,052c369c92059f10d96da83375fd40498e18e06e,,,"Match Day",,,,1985,Ocean,,,,,,,,,,,,,,
