"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"TMNT Rescue-Palooza",,1d812448af661ca28c976cd151456f9ed2d1c943,,,,,,v1.09,,,,?,,,,,,,,,,,,
"Alien vs Predator",,1da22dc8f057db5f1c15c6d57ba101ced1ab877d,,,,,,,,,,!,,,,,,,,,,,,
Flow,,1dc0dbba4c991ab76985a9b1482382323fd170c3,,,,,,v0.192,,,,?,,,,,,,,,,,,
Unreal,,1df3e0a5d7a6a6b95169c9f10f31e9ef66a313ed,,,UCC,,,,,,,?,,,,,,,,,,,,
JoyToKey,,1df574d8fa1320e6b3097a59784afe3111d627ab,,,,,,v3.7.4,,,,?,,,,,,,,,,,,
"Storm Gear",,1e516d4c086cc251a8332d4c70219187582a4db0,,,storm_gear_main,,,v1.21,,,,?,,,,,,,,,,,,
RPGMaker,,1e61700ac258b986c71a2dcdc693230cc853eb39,,,"RPGMaker RunTime Library: Installer",,,v1.05,,,,?,,,,,,,,,,,,
"Fairy Bloom",,1e7a29f7153033c4704813a36ab478419860ef37,,,,,,v3.03,,,,?,,,,,,,,,,,,
Mindustry,,1ec4c6770a479961c6f3896adb1d5d2b4cf3de12,,,,,,v126.2,,,,?,,,,,,,,,,,,
"Streets of Rage Remake v5_1",,1edcf044d57968112335132c58cedf411e2427a6,,,"SoR Maker",,,v5.2,,,xw,!,,,,,,,,,,,,
"Chessmaster 9000",,1ef0f52b05b45061f0f924f9e0856de533a8ee24,,,,,,,,,,?,,,,,,,,,,,,
"El principio del fin",,1fa61f9b1f95ec7a1507b1a2e8c4b275757229f5,,,FIN,,,,,,,?,,,,,,,,,,,,
"Incredible Machine 3.0",,1fbb2d1e5283b5eb2b472b9a44daed5f60a1e5ce,,,TIMWIN,,,,,,,?,,,,,,,,,,,,
"Motocross Madness",,1fd5c9e5bab19870ea9ab6b92c7f3e0c028780c4,,,mcm,,,,,,,?,,,,,,,,,,,,
Adagio,,1ff605cdd740ba62e9eecfaeec39ca4a3cde5ff7,,,"Adagio: Uninstall",,,v3.03,,,,?,,,,,,,,,,,,
"Deadpool: The Videogame",,20271bcfff009b7863241b2508d3da887e633f4c,,,,,,,,,es,?,,,,,,,,,,,,
"Miniquest Zero",,2034cc74001845fa8ada2ee0facde13e870b4f55,,,"miniquest gm7",,,,,,,?,,,,,,,,,,,,
"FX Fighters Turbo",,206596a16980e4c7fc0fdfff88eff1f3e0141cc7,,,s3fight,,,,,,,?,,,,,,,,,,,,
Vocaluxe,,206c23fa718c615d40ea61c936413391df14b7f3,,,gst-validate-1.0,,,,,,,,,,,,,,,,,,,
"Number Smacker",,20b21478a376c8c4a0bcad69087bc6a982decca3,,,numbersmacker,,,,,,,?,,,,,,,,,,,,
"Rocket Jockey",,20ec28c25c2f5ff4072cb1bf0e613fa3fd7d5a9a,,,,,,,,,,?,,,,,,,,,,,,
"Princess Remedy in a World of Hurt",,2176c1b7c1541dcc768f1922724b3031ce9894cf,,,remedy_gm5,,,v1.5,,,,?,,,,,,,,,,,,
"xSynergy Gate",,21f62b64df03cf66a35fc148b75f3aa4459fcf20,,,joycfg,,,,,,,?,,,,,,,,,,,,
"Friking Shark 3D",,21fdc367291bbef14dac27925cae698d3928eead,,,oalinst,,,,,,,?,,,,,,,,,,,,
"Touhou 12.5: Double Spoiler v1.00a",,22c6090f15c86367778b9fe5b008315606e801b3,,,custom,,,,,,,?,,,,,,,,,,,,
