"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Wayne Gretzky's 3D Hockey",,06c75fd44e69972649f46f415c022ed46eb3699d,,,,,,,1996,"Atari | Williams",jp,b,,,,,,,,,@,,,
"Mahjong Master",,070631b72cfe086998246d9adcb55d511eb5ae63,,,,,,,1996,Konami,jp,b,,,,,,,,,@,,,
"Taz Express",,070e48be7381c37aa33ac5910e686b7ca3d0e9bc,,,,,,,2000,Infogrames,eu,?,,NTSC,,,,,,2,@,,,
Spider-Man,,070f08e7e6a7ca4c500ba656bcceb62b935b3741,,,,,,,2000,Activision,us,?,,,*,,,,,,@,,,
@,,0729551ee098bf290890388f062e3b03ef0abbf6,,,"GoldenEye 007",,,@,1997,Nintendo,us,@,@,@,@,@,@,@,@,45,@,,,
@,,07325ac0adcd576a3fafbb96776aabace9d9b111,,,"Super Mario 64",,,@,1996,Nintendo,us,@,@,@,@,@,@,@,@,63,@,,,
"FIFA 99",,07400c53aef501887f73ef6a45ce04fe2f170fb0,,,,,,,1998,"Electronic Arts",eu,!,,,,,,,,,@,,,
"Pokemon Stadium",,074582744c71d7f0569ce960964a7bbe947efd3c,,,"Pokemon Sutajiamu Tsuu",,,,1999,"Creatures | Game Freak | Nintendo",jp,!,,,,,,,,,@,,,
"Waialae Country Club: True Golf Classics",,074d13da1ac91167654a8047eb72d732fbcb5121,,,,,,v1,1998,"T&E Soft",eu,!,,,,,,,,,@,,,
"Super Mario 64",,07588ef9548e7883040ecd061e17e6dd846c1de6,,,,,,,1997,Nintendo,eu,?,,,*,,,,,,@,,,
"Legend of Zelda: Ocarina of Time",,0769c84615422d60f16925cd859593cdfa597f84,,,"Zelda no Densetsu: Toki no Ocarina GC",,,,2002,Nintendo,jp,!,"Nintendo GameCube",,,,,,,,@,,,
"Bomberman 64 {W}",,077be17942edd27ae66e2f9ed7ea274345800187,,,,,,,1997,Hudson,us,b,,,,,,,,,@,,,
@,,0782d9578afd85edbc77e4100340c4256c94fb6a,,,"Super Mario 64",,,@,1996,Nintendo,us,@,@,@,@,@,@,@,@,90,@,,,
@,,0786e5be0ea6522a1e9f1a9052dacaf01169298e,,,"Rocket: Robot on Wheels",,,beta,1999/09/29,"Ubi Soft",eu,@,@,@,@,@,@,@,@,@,@,,,
"Pokemon Snap",,07886136142ee29f131d15f0546f3fe172902cca,,,,,,,1999,"HAL Laboratory | Nintendo",us,?,,,,es,,,,,@,,,
"Rampage: World Tour",,083fb43471ea0991b58ec70b5ea07a9cdebcc863,,,,,,,1997,Midway,us,?,,,*,,,,,,@,,,
"John Romero's Daikatana",,08709013d512f3a2bed65b98ab451ec8b839d3b4,,,,,,,2000,"Ion Storm | Kemco",us,!,,,,,,,,,@,,,
"Mystical Ninja Starring Goemon",,087f5f5ad7b00fea3fd2d0dbeb61da2d0b127c11,,,,,,,1998,Konami,eu,b,,,,,,,,,@,,,
"Virtual Chess 64",,0899017b0a5231ecbb084abff2303d9c25342828,,,,,,,1998,Titus,eu,!,,,,,,,,,@,,,
"!Public Domain",,08a1d8e6a547a61f06f564123e895f32d25af923,,,"Dexanoid R1",,,,1999,"Protest Design",,?,,,*,,,,,,@,,,
"Waialae Country Club: True Golf Classics",,08af498bca98c79e3fa18c9c860091d5eb952e6e,,,"Masters '98: Haruka Naru Augusta",,,,1997,"T&E Soft",jp,!,,,,,,,,,@,,,
"Monaco Grand Prix",,08bc64cb8c64db9b048fc1522fd5e808ff63ce1a,,,"Racing Simulation 2",,,,1999,Ubisoft,de,!,,,,,,,,,@,,,
@,,08d4df0be32c8e845b9bdcf1d184611ffc4841e0,,,"GoldenEye 007",,,@,1997,Nintendo,us,@,@,@,@,@,@,@,@,19,@,,,
"!Public Domain",,08e5de7a3b2427eb719a9ac8c94001799599362a,,,"Pips RPG",,,"Beta 12",1998,"Pips, Mark",,?,,,,,,,,,@,,,
"Turok 3: Shadow of Oblivion",,08ec9170b67afe259104977def70fbcc706729f9,,,,,,Beta,2000/06/06,Acclaim,eu,?,,,,,,,,,@,,,
"Star Wars: Shadows of the Empire",,08f2c494dfdbab609da48be7f19c4d6589effdc5,,,,,,,1996,LucasArts,eu,b,,,,,,,,,@,,,
"Killer Instinct Gold",,08fabb5ffbd5e10e44b5c994485b42d159253454,,,,,,v0,1996,Nintendo,us,b,,,,,,,,,@,,,
"Legend of Zelda: Majora's Mask",,08fc293507895a05f5ea644493cd103e9c3ed2db,,,,,,v0,2000,Nintendo,eu,?,,,,it,,,,,@,,,
"Rush 2: Extreme Racing USA",,090a027612140e90ffbbd7c48dec77005f7b0a69,,,,,,,1998,"Atari | Midway",eu,!,,,,,,,,,@,,,
"!Public Domain",,091c49d7ed2556ba991732ee1b4cdccd70198c64,,,"Wet Dreams: Wet Dreams Demo",,,,1999,Immortal,,?,"POM '99",,,,,,,,@,,,
Extreme-G,,09222b886dc10f49c95c5a164c52f68380de5f04,,,,,,,1997,Acclaim,us,?,,,*,,,,,,@,,,
@,,09288b52fdb6e3c12ade47ec3885b63110affc37,,,"Super Mario 64",,,@,1996,Nintendo,us,@,@,@,@,@,@,@,@,204,@,,,
O.D.T.,,092fb7c560b40cc3a2a0e6b48a6afc10948c4166,,,,,,,1999,"Infogrames | Psygnosis",eu,!,,,,,,,,,@,,,
"GoldenEye 007",,095e761368bedad5c658400fe3ee0acd924c4939,,,,,,,1997,Nintendo,us,?,,,*,,,,,,@,,,
@,,0971545144930f221a4350e98866c8cd1ee22af5,,,"Die Hard 64",,,proto,2000/03/15,"Fox Interactive",us,@,"Level 3 | 02.43",@,@,@,@,@,@,@,@,,,
"!Public Domain",,097a4d53456b1788d6d1bee18e88edb2fd70efd7,,,"Pips World Game 2",,,,1998,"Pips, Mark",,?,,,,,,,,,@,,,
"MRC: Multi-Racing Championship",,0988cbc001740468491a87f26e94fdd1b5ad6354,,,,,,,1997,Imagineer,jp,b,,,,,,,,,@,,,
"Yakouchuu II: Satsujin Kouru",,09929ca361d47fb9fc0eb4077cf1fb77cb843cef,,,,,,,1999,Athera,jp,!,,,,,,,,,@,,,
@,,09930df70ef18cbc2e19cc435f34cc7d2151f12a,,,"ScummVM-N64: TeenAgent",,,v1.2.0,2010,"ScummVM Team",@,@,@,@,@,@,@,@,@,@,@,,,
"Bung Enterprises Doctor V64 BIOS",,09963629b1f3a07d6ef476632f021146eda83725,,,,,,v1.61,1998,"Bung Enterprises",,?,,,,,,,,,@,,,
"Shadowgate 64: Trials of The Four Towers",,09b1b6a1c2d2af51fe72bfd84f1ae2d73ed2db0e,,,,,,,1999,Kemco,jp,b,,,,,,,,,@,,,
"AeroFighters Assault",,09b4ba3d1670bd1ddd26f8fead740d9fd99574e3,,,,,,,1997,"Video System",us,b,,,,,,,,,@,,,
@,,09c0f5b64b34c8822af38385576d028ca8c6ccc0,,,"Super Mario 64",,,@,1996,Nintendo,us,@,@,@,@,@,@,@,@,71,@,,,
