"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Shrak for Quake",,00c7ae60b6680a002c5affbc5eb8cb69ceb1b632,,,QLAUNCH,,,,,,,?,,,,,,,,,,,,
Quadrel,,00cbdc4f0aa6c6ea354ded1b06c89395d619a212,,,SWAPAB,,,,,,,?,,,,,,,,,,,,
"Final Orbit",,00cc43dd63659d3bbaa1d3e4ff7ae864ae086ffc,,,XXXV,,,,,,,?,,,,,,,,,,,,
"Body Slam: All Star Wrestling",,00cd356efd75ae1195dc94f3fc42cbdffa8f2d44,,,RUNPSYC,,,,,,,?,,,,,,,,,,,,
Sleepwalker,,00cf57ac6a3cbbaef949e04b0fdb743544e6f566,,,sleep,,,,,,,?,,,,,,,,,,,,
"PC Dominó",,00d21fda2a876b632b185e54e60121793d4f1cf8,,,INT10H,,,,,,,?,,,,,,,,,,,,
"Castle Chess",,00d21fda2a876b632b185e54e60121793d4f1cf8,,,INT10H,,,,,,,?,,,,,,,,,,,,
"PC Póker",,00d21fda2a876b632b185e54e60121793d4f1cf8,,,INT10H,,,,,,,?,,,,,,,,,,,,
"PC Tute",,00d21fda2a876b632b185e54e60121793d4f1cf8,,,INT10H,,,,,,,?,,,,,,,,,,,,
"Nine Lives of Secret Agent Kat, The",,00d340d8b50572b94bf1ff3f8f7a7e78b19931b1,,,MOVE,,,,,,,?,,,,,,,,,,,,
"Mutation of J.B.",,00d3e496bf8a537b9133c26448aa068b31d0a5fb,,,JB,,,,,,,?,,,,,,,,,,,,
"Tank: The M1A1 Abrams Battle Tank Simulation",,00da9a6e96141454f8162e3d59882ee3f1582319,,,CHILDFK4,,,,,,,?,,,,,,,,,,,,
"F-19 Stealth Fighter",,00dbea0bcf27944651163f28e0cf27dfc0701cd2,,,EGRAPHIC,,,,,,,?,,,,,,,,,,,,
"Bedlam II: Absolute Bedlam",,00e735b826482481eb6bbf8b450197f550be0f2b,,,Univbe,,,,,,,?,,,,,,,,,,,,
Wurmi,,00e747557a678b86569efb009738128e50bf2bec,,,WURMI,,,,,,,?,,,,,,,,,,,,
"Take Down Wrestling",,00eb851f1e0f5fec76ebb8e31f47c44580676076,,,TAKEDN,,,,,,,?,,,,,,,,,,,,
"Wraith v3.1",,00ef9bbcc366bd9347dcfbe0cad7be4ad362b8a7,,,CMUS,,,,,,,?,,,,,,,,,,,,
"4 Soccer Simulators",,00f1aa826190eef226378b33154eb751216af77c,,,STREET,,,,,,,?,,,,,,,,,,,,
Breakers,,00f34eba67fa3a035061d37b9a9f95a2e755df40,,,Title,,,,,,,?,,,,,,,,,,,,
"Battlecruiser 3000AD v2.09",,00f8602b19679fb62e0591a24f47222e19aee16b,,,SETUP,,,,,,,?,,,,,,,,,,,,
Hurdles,,00fdbc42cb78cc8a0f7b80e69f50679c0f44d6fa,,,HURDLES,,,,,,,?,,,,,,,,,,,,
BlobbyDash,,01009121a9588d42c22f06acf9eb490a4f1e339a,,,GAME,,,,,,,?,,,,,,,,,,,,
