"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Fighter Demo",,7a565bd98e6c31dc7cda980ee85552fb51583bbe,,,,,,v0.2,2000,Vick,,,,,,,,,,,,,,
"Circle Draw Routine 1",,7a6b8516ac4befec815a339f88c0c9a3733ea8c4,,,,,,,199x,,,,,,,,,,,,,,,
@,,7b5150cc095c554b0578bdd9a20caec0a7921547,,,Paperboy,,,,1990,"Tengen Inc",,,,,,,,,,,,,,
@,,7c30f02e6a908b1c93e8251e0ed3f96234ebe72f,,,Timeloop,,,,2020/08/12,"Dr. Ludos",,,,,,,,,,,,,,
Toki,,7cc238fcc664b9923f2af1012dc093ba924463e9,,,,,,,1990,"Atari Corp",,b,,,,,,,,,,,,
"Tournament Cyberball 2072",,7cf0895afa070571acf877f7c6dbbbf761166172,,,,,,,1991,"Tengen Inc",,b,,,,,,,,,,,,
"Gauntlet: Third Encounter",,7cf7d08b52784e13d8278d249dcd8975d3714da4,,,,,,,1989,"Tengen Inc",,,,,,,,,,,,,,
"Puzzler 2000: Invent 13 Music",,7d97fbaaf6cd5b92651316ada6fd4807c5d75191,,,,,,,1998,"Wuhl, Markus",,,,,,,,,,,,,,
Tetris,,7e1334bbe3ef96e4faa25fff410a7025031961b3,,,,,,,199x,,,b,,,,,,,,,,,,
"Bubble Bobble Demo",,7e62e7f2c5559b5baa508fc06a9b9a6389eea164,,,,,,v0.2,199x,,,,,,,,1,,,,,,,
Raw,,7eb373d2588aef2f971285465f42d42cc7cae7f0,,,,,,,1997,PD,,,,,,,,,,,,,,
"Battlezone 2000",,7edfa01096a61f681dd4bf217ab1f0281c3b33b0,,,,,,,1993,"Atari Corp",,,,,,,,,,,,,,
