"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Solar Fire",,49e9f24b142615305bc034de57285afabcbdcfcb,,,,,,"(Williams 1981)",,,,?,,,,,,,,,,,,
Sunset.Gottlieb.1962,,4a217c91ae842ef63c34a199ca7e2d523113cc49,,,,,,,,,,?,,,,,,,,,,,,
"PM Iron Maiden",,4a819e57dac6601c79969f6b1bfc334db80d4029,,,,,,,,,,?,,,,,,,,,,,,
"Around the World",,4c19783be7098758bf35cc944cc9b05edaf71618,,,,,,"(Gottlieb 1959)",,,,?,,,,,,,,,,,,
PartyLand,,4cac60a89ed88309d31dcc0b2d6743f6bbb75fe6,,,,,,,,,,?,,,,,,,,,,,,
"black rose",,4ce499a2badb5174e7476bc90f90e958adf338f4,,,,,,,,,,?,,,,,,,,,,,,
Mammoth,,4d11c87618ff48fa87b1a61a24569a24c5adc738,,,,,,"(Keeney 1935)",,,,?,,,,,,,,,,,,
"Power Play 1.1",,4d1dac0427cd71debfd6c15e157b5eeb5a16c845,,,,,,,,,,?,,,,,,,,,,,,
BlackKnight_v1.1,,4d55c73ad69f9c32ecb1328f74bec5e14b193c77,,,,,,,,,,?,,,,,,,,,,,,
locomotion,,4e32b7e095f849ba5c8accd50a2a16f167f476fb,,,,,,"(Zaccaria of Italy 1981)",,,,?,,,,,,,,,,,,
HotLine_RC1a,,4e41a18c24adfd857bc9f73bb65c0411a6b24aa3,,,,,,,,,,?,,,,,,,,,,,,
"Heavy Metal Meltdown 1.0",,4f9b82cb490f71d165cc6e769ef2007dde0e9082,,,,,,,,,,?,,,,,,,,,,,,
vpmanb.05,,4ff5008c1fc14452856b46729e09c7821ab8bd90,,,,,,,,,,?,,,,,,,,,,,,
"PM TX-Sector",,5032b1527068edf962ee3e7887a03189baa89f71,,,,,,,,,,?,,,,,,,,,,,,
"Black Knight 2000 1.22",,5065d35ae0a05fae83afcc3806f71084659da707,,,,,,,,,,?,,,,,,,,,,,,
marsv1,,50bad903dd32cc1bc5bb9be40c4970398b43277b,,,,,,,,,,?,,,,,,,,,,,,
Shenmue2,,5231753300a446e4e2c0ecb448a71b69d3e3a1f6,,,,,,,,,,?,,,,,,,,,,,,
Mr&MrsPAC-MANvp5.8,,527d04a4fc52cc23ecb407d2e1ad1151fbe1f3a0,,,,,,,,,,?,,,,,,,,,,,,
Shark,,52f9579b83cef313ee32a5cdeac6381d07c88e20,,,,,,,,,,?,,,,,,,,,,,,
"Baby Pacman",,533d9d9aefca5a66ed23af370119d973765af50a,,,,,,"(Bally 1982)",,,,?,,,,,,,,,,,,
"breakthru 1.0",,53aa01433c6991ede189adec658faf74be479f43,,,,,,,,,,?,,,,,,,,,,,,
sevenup,,544c3c727a4a4383f18acc161ca79fd15ae45a2c,,,,,,,,,,?,,,,,,,,,,,,
MidgetVP63L,,5487ba806bb7746ee6ff790991704eecd32dbc7f,,,,,,,,,,?,,,,,,,,,,,,
"Fireball at night",,54de40fb48dfb4a9a95a33b03f82858252fd930d,,,,,,"(Bally 1972)",,,,?,,,,,,,,,,,,
"Flipper Pool",,54e0470bf80a8aa02fc51dbbe244f72b12860ecf,,,,,,"(Gottlieb 1965)",,,,?,,,,,,,,,,,,
Alaska.,,5551d6c5c2c4097a3740f12c9fa7f723e4b0edec,,,Alaska,,,,,,,?,,,,,,,,,,,,
SpotShotVP6L,,569dda5f81424742cbff8b9e1ec0f92c629e69e7,,,,,,,,,,?,,,,,,,,,,,,
"Baby Whiffle",,56d68e4fdf1b8171986c9d4572493c770048d2ff,,,,,,,,,,?,,,,,,,,,,,,
"Star Trek",,573f8575f03166c2a79afea719bfabe504c8b0ca,,,,,,"(VPM) beta2",,,,?,,,,,,,,,,,,
"Swords of Fury RC2",,576baa2fac0e342c9c5527cba8781f1f933e67dc,,,,,,,,,,?,,,,,,,,,,,,
